,EinzelteilNr,Bezeichnung
0,1001,Surly Long Haul Trucker Rahmenkit
1,1002,Surly Troll Rahmenkit
2,1003,Salsa Cutthroat Rahmenkit
3,1004,VOTEC VRC Framekit
4,1005,Cervelo C3 Frameset
5,1006,Ortler Bricktown S Damen
6,1007,Radon Scart Light Lady
7,1008,Focus Raven 8.7
8,1009,Giant Trinity Advanced Pro Time Trial
9,1010,Red Cycling Products Kickstand Multi Disc Hinterbaustaender
10,1011,Cube Universal Fahrradstaender
11,1012,Tubus Seitenstaender schwarz
12,1013,Kein Fahradstaender
13,1014,Red Cycling Products Alu Carrier Disc Gepaecktraeger
14,1015,XLC RP-R07 Gepaecktraeger fuer Sattelstuetzen schwarz
15,1016,Red Cycling Products Front Tray silver
16,1017,Tubus Cosmo Gepaecktraeger
17,1018,Kein Gepaecktraeger
18,1019,SKS Velo 55 Trekking Schutzbleche
19,1020,Zefal City Schutzblech Set schwarz
20,1021,XLC MG-C25 Schutzblech Set Mountain
21,1022,Kein Schutzblech
22,2001,SR Suntour SF18 Nex-E25 HLO P Federgabel
23,2002,RockShox Paragon Gold TK SA Federgabel
24,2003,SR Suntour SF17NCX-E-Air-RL Federgabel
25,2004,RockShox 30 Gold RL SA Federgabel
26,2005,Marzocchi Bomber 58 Federgabel
27,3001,Schwarz Uni Basislack 
28,3002,Weiss Uni Basislack 
29,3003,Blau Uni Basislack
30,3004,Schwarz Metallic Basislack
31,3005,Weiss Metallic Basislack 
32,3006,Rot Metallic Basislack 
33,3007,Blau Metallic Basislack
34,3008,2K HS-Klarlack
35,3009,2K HS Haerter fuer Klarlack
36,3010,2K HS Fueller hellgrau
37,3011,2K HS Haerter fur Fueller
38,3012,Silikonentferner
39,4001,Humpert Cruiser Lenker
40,4002,XLC HB-C02 City-/Trekking-Lenker
41,4003,Humpert Country Lenker
42,4004,Ritchey Comp Streem III Di2 Road Lenker
43,4005,Cube RFR Standard Griffe
44,4006,Red Cycling Products Super Ergo Grip
45,4007,Red Cycling Products Urban Classic Grip
46,4008,Cube Lenkerband Kork
47,4009,SGODDE Fahrradklingel
48,4010,BBB Loud & Clear BBB-11 Klingel
49,4011,Red Cycling Products Alloy Bell
50,4012,Fischer 85803 BALLHUPE
51,4013,Ergon GP3 Griffe Gripshift
52,5001,"Exal BE21 Laufradsatz 29"" Disc Comp"
53,5002,Shimano WH-RX31 Laufradsatz 12x100/142mm Centerlock
54,5003,CAMPAGNOLO Zonda Laufradsatz C17 Campa Body
55,5004,Mavic Comete Pro Carbon SL T Laufradsatz Shimano/SRAM M-11
